start frame,end frame,bout_dur,bout_num,cumul_dur
2442,2928,486,1,486
3040,3422,382,2,868
14721,14752,31,3,899
15537,15565,28,4,927
17587,19555,1968,5,2895
19647,20521,874,6,3769
40624,41834,1210,7,4979
41869,42274,405,8,5384
42318,42763,445,9,5829
61315,62456,1141,10,6970
62678,63247,569,11,7539
67174,67210,36,12,7575
71524,71630,106,13,7681
72480,72580,100,14,7781
76111,76174,63,15,7844
83144,83378,234,16,8078
83450,86682,3232,17,11310
86749,88806,2057,18,13367
89111,89210,99,19,13466
89560,90400,840,20,14306
118198,118946,748,21,15054
120513,120560,47,22,15101
121163,121257,94,23,15195
